Model,SubFolder,Epoch,BOX mAP@0.5,POSE mAP@0.5,POSE mAP@0.5:0.95
yolo11l-pose-default,yolo11l_pose_default_960_8,100,0.76137,0.43748,0.42840
yolo11m-pose-custom-repeat,yolo11m_pose_p2p5_768_2x2,55,0.72068,0.42212,0.41113
yolo11m-pose-default,yolo11m_pose_default_960_12,100,0.75713,0.43401,0.42454
yolo11n-pose-custom,yolo11n_pose_p2p3p4,100,0.73117,0.42248,0.41172
yolo11n-pose-custom-repeat,yolo11n_pose_p2p5_960,100,0.73349,0.42834,0.41833
yolo11n-pose-default,yolo11n_pose_default_1024_16,100,0.72295,0.42368,0.40781
yolo11s-pose-custom,yolo11s_pose_p2p3p4,100,0.69235,0.41739,0.40128
yolo11s-pose-custom-repeat,yolo11s_pose_p2p5_960,99,0.72994,0.42705,0.41684
yolo11s-pose-custom-tuned,yolo11s_pose_p2p3p4,100,0.72511,0.42608,0.41658
yolo11s-pose-default,yolo_default,97,0.70121,0.42713,0.41029
yolo11s-pose-max,yolo11s_pose,99,0.75359,0.43212,0.42168
